,61_CS_DNA,62_CS_DNA,64_CS_DNA,65_CS_DNA,66_CS_DNA,67_CS_DNA,68_CS_DNA,70_CS_DNA,72_CS_DNA,73_CS_DNA,74_CS_DNA,75_CS_DNA,76_CS_DNA,77_CS_DNA,78_CS_DNA,79_CS_DNA,80_CS_DNA,81_CS_DNA,82_CS_DNA,83_CS_DNA,84_CS_DNA,85_CS_DNA,87_CS_DNA,88_CS_DNA,91_CS_DNA,92_CS_DNA,93_CS_DNA,94_CS_DNA,100_CS_DNA,101_CS_DNA,103_CS_DNA,63_S_DNA,64_S_DNA,65_S_DNA,66_S_DNA,72_S_DNA,96_CS_DNA,98_CS_DNA,99_CS_DNA,61_CS_RNA,62_CS_RNA,64_CS_RNA,65_CS_RNA,66_CS_RNA,67_CS_RNA,68_CS_RNA,70_CS_RNA,72_CS_RNA,75_CS_RNA,77_CS_RNA,K+AB1_C_DNA,K+AB2_C_DNA,K+AB5_C_DNA,K+B+A1_C_DNA,K+B+A2_C_DNA,K+B+A5_C_DNA,K2_C_DNA,K4_C_DNA,K5_C_DNA,63_S_RNA,64_S_RNA,65_S_RNA,66_S_RNA,67_S_RNA,68_S_RNA,70_S_RNA,72_S_RNA,73_S_RNA,74_S_RNA,75_S_RNA,76_S_RNA,77_S_RNA,78_S_RNA,79_S_RNA,80_S_RNA,81_S_RNA,82_S_RNA,84_S_RNA,85_S_RNA,86_S_RNA,88_S_RNA,90_S_RNA,92_S_RNA,93_S_RNA,96_S_RNA,97_S_RNA,98_S_RNA
00aa89e50e996ce70c27b1e634be4856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00b1e9b95cf28c88df6191392a60cc55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00b20730ea9a3ff8c3c271f73ca8d16c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00bdd61ee78985591a4de1d57f24591c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00dc882669f5f80100fe79af0124cd69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00faa53517a3d523977f77171ba2135f,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0105124b4b2e219f8bd9190b0ec6cf63,0,0,0,0,0,0,0,0,0,0,0,0,0,2143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
011ab79f87f864c1d5956d9ddc8119ee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01268b2df360aaef05025b3f2f83619a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0128352ac3c8f8d4304c956b22da0a54,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
